id,uid,iid,rate
0,user_01,item_02,1.0
1,user_06,item_01,1.0
2,user_08,item_02,1.0
3,user_09,item_02,1.0
4,user_10,item_05,1.0
5,user_11,item_05,1.0
6,user_12,item_05,1.0
7,user_15,item_05,1.0
8,user_18,item_02,1.0
9,user_21,item_00,1.0
10,user_22,item_02,1.0
11,user_25,item_09,1.0
12,user_26,item_03,1.0
13,user_27,item_04,1.0
14,user_31,item_08,1.0
15,user_32,item_06,1.0
16,user_33,item_00,1.0
17,user_35,item_01,1.0
18,user_37,item_07,1.0
19,user_39,item_07,1.0
20,user_40,item_05,1.0
21,user_41,item_03,1.0
22,user_45,item_01,1.0
23,user_46,item_06,1.0
24,user_49,item_01,1.0
25,user_53,item_02,1.0
26,user_55,item_05,1.0
27,user_56,item_00,1.0
28,user_59,item_05,1.0
29,user_60,item_02,1.0
30,user_61,item_04,1.0
31,user_62,item_03,1.0
32,user_64,item_07,1.0
33,user_65,item_00,1.0
34,user_66,item_02,1.0
35,user_70,item_00,1.0
36,user_72,item_08,1.0
37,user_73,item_04,1.0
38,user_74,item_06,1.0
39,user_75,item_01,1.0
40,user_77,item_05,1.0
41,user_78,item_04,1.0
42,user_81,item_03,1.0
43,user_82,item_04,1.0
44,user_83,item_05,1.0
45,user_86,item_09,1.0
46,user_89,item_09,1.0
47,user_91,item_08,1.0
48,user_93,item_03,1.0
49,user_95,item_01,1.0
50,user_98,item_00,1.0
51,user_99,item_05,1.0
52,user_101,item_02,1.0
53,user_103,item_07,1.0
54,user_104,item_08,1.0
55,user_105,item_08,1.0
56,user_107,item_00,1.0
57,user_114,item_01,1.0
58,user_115,item_02,1.0
59,user_116,item_08,1.0
60,user_121,item_02,1.0
61,user_122,item_00,1.0
62,user_129,item_05,1.0
63,user_130,item_00,1.0
64,user_131,item_01,1.0
65,user_134,item_08,1.0
66,user_136,item_00,1.0
67,user_137,item_03,1.0
68,user_138,item_05,1.0
69,user_140,item_04,1.0
70,user_143,item_02,1.0
71,user_147,item_08,1.0
72,user_148,item_00,1.0
73,user_150,item_01,1.0
74,user_151,item_06,1.0
75,user_152,item_01,1.0
76,user_154,item_08,1.0
77,user_155,item_09,1.0
78,user_156,item_06,1.0
79,user_158,item_02,1.0
80,user_159,item_08,1.0
81,user_160,item_04,1.0
82,user_161,item_06,1.0
83,user_162,item_07,1.0
84,user_163,item_05,1.0
85,user_164,item_03,1.0
86,user_165,item_05,1.0
87,user_166,item_09,1.0
88,user_167,item_04,1.0
89,user_169,item_04,1.0
90,user_172,item_01,1.0
91,user_173,item_02,1.0
92,user_175,item_02,1.0
93,user_176,item_08,1.0
94,user_182,item_01,1.0
95,user_183,item_08,1.0
96,user_184,item_05,1.0
97,user_187,item_08,1.0
98,user_188,item_09,1.0
99,user_193,item_02,1.0
100,user_194,item_00,1.0
101,user_198,item_01,1.0
