id,uid,iid,rate
0,user_00,item_12,1.0
1,user_02,item_12,1.0
2,user_03,item_14,1.0
3,user_04,item_15,1.0
4,user_05,item_14,1.0
5,user_07,item_19,1.0
6,user_13,item_12,1.0
7,user_14,item_12,1.0
8,user_16,item_10,1.0
9,user_17,item_12,1.0
10,user_19,item_19,1.0
11,user_20,item_14,1.0
12,user_23,item_19,1.0
13,user_24,item_11,1.0
14,user_28,item_12,1.0
15,user_29,item_10,1.0
16,user_30,item_12,1.0
17,user_34,item_14,1.0
18,user_36,item_19,1.0
19,user_38,item_14,1.0
20,user_42,item_10,1.0
21,user_43,item_16,1.0
22,user_44,item_16,1.0
23,user_47,item_10,1.0
24,user_48,item_11,1.0
25,user_50,item_13,1.0
26,user_51,item_14,1.0
27,user_52,item_17,1.0
28,user_54,item_10,1.0
29,user_57,item_12,1.0
30,user_58,item_16,1.0
31,user_63,item_10,1.0
32,user_67,item_12,1.0
33,user_68,item_11,1.0
34,user_69,item_17,1.0
35,user_71,item_15,1.0
36,user_76,item_11,1.0
37,user_79,item_11,1.0
38,user_80,item_11,1.0
39,user_84,item_15,1.0
40,user_85,item_14,1.0
41,user_87,item_12,1.0
42,user_88,item_17,1.0
43,user_90,item_12,1.0
44,user_92,item_18,1.0
45,user_94,item_16,1.0
46,user_96,item_19,1.0
47,user_97,item_10,1.0
48,user_100,item_18,1.0
49,user_102,item_16,1.0
50,user_106,item_15,1.0
51,user_108,item_16,1.0
52,user_109,item_18,1.0
53,user_110,item_15,1.0
54,user_111,item_12,1.0
55,user_112,item_17,1.0
56,user_113,item_11,1.0
57,user_117,item_11,1.0
58,user_118,item_15,1.0
59,user_119,item_18,1.0
60,user_120,item_17,1.0
61,user_123,item_12,1.0
62,user_124,item_11,1.0
63,user_125,item_12,1.0
64,user_126,item_16,1.0
65,user_127,item_13,1.0
66,user_128,item_14,1.0
67,user_132,item_19,1.0
68,user_133,item_10,1.0
69,user_135,item_18,1.0
70,user_139,item_12,1.0
71,user_141,item_19,1.0
72,user_142,item_14,1.0
73,user_144,item_12,1.0
74,user_145,item_14,1.0
75,user_146,item_18,1.0
76,user_149,item_15,1.0
77,user_153,item_19,1.0
78,user_157,item_19,1.0
79,user_168,item_12,1.0
80,user_170,item_15,1.0
81,user_171,item_17,1.0
82,user_174,item_18,1.0
83,user_177,item_14,1.0
84,user_178,item_16,1.0
85,user_179,item_10,1.0
86,user_180,item_11,1.0
87,user_181,item_14,1.0
88,user_185,item_12,1.0
89,user_186,item_19,1.0
90,user_189,item_16,1.0
91,user_190,item_16,1.0
92,user_191,item_12,1.0
93,user_192,item_16,1.0
94,user_195,item_14,1.0
95,user_196,item_11,1.0
96,user_197,item_19,1.0
97,user_199,item_10,1.0
